Profile_ID,Road_Name,N_Buildings,Total_Floors,Avg_Floors,Max_Floors,Min_Floors,Avg_Height_m,Max_Height_m,Dominant_Usage,SCR_Est,EWW_Est_m,Building_Density_per_100m,Center_Lat,Center_Lng
P0379,勤学路,10,38,3.8,8,1,11.4,24.0,Residential,0.65,3.5,20.0,113.928295,22.52723
P0380,勤学路,10,31,3.1,8,1,9.3,24.0,Public,0.65,3.5,20.0,113.928308,22.527326
P0381,勤学路,10,36,3.6,7,1,10.8,21.0,Public,0.65,3.5,20.0,113.928414,22.527437
P0382,勤学路,10,48,4.8,11,1,14.4,33.0,Residential,0.65,3.5,20.0,113.928567,22.5276
P0383,勤学路,10,69,6.9,11,2,20.7,33.0,Residential,0.65,3.5,20.0,104.788532,31.667761
P0384,勤学路,10,60,6.0,11,1,18.0,33.0,Residential,0.65,3.5,20.0,77.368019,59.087842
P0385,勤学路,10,63,6.3,11,1,18.9,33.0,Residential,0.65,3.5,20.0,49.947801,86.508047
P0386,勤学路,10,48,4.8,11,1,14.4,33.0,Residential,0.65,3.5,20.0,22.527457,113.928367
P0387,白石路,10,137,13.7,34,3,41.1,102.0,Unknown,0.5,2.5,20.0,113.932498,22.528694
P0388,白石路,10,73,7.3,11,3,21.9,33.0,Unknown,0.65,3.5,20.0,113.933381,22.529695
P0389,白石路,10,100,10.0,40,2,30.0,120.0,Unknown,0.5,2.5,20.0,113.935425,22.530793
P0390,白石路,10,199,19.9,40,2,59.7,120.0,Unknown,0.3,1.5,20.0,113.937399,22.532556
P0391,白石路,10,227,22.7,40,2,68.1,120.0,Unknown,0.3,1.5,20.0,86.515866,49.953044
P0392,白石路,10,227,22.7,40,6,68.1,120.0,Unknown,0.3,1.5,20.0,59.094637,77.373745
P0393,白石路,10,161,16.1,39,6,48.3,117.0,Unknown,0.3,1.5,20.0,31.67096,104.793759
P0394,书山路,10,77,7.7,26,1,23.1,78.0,Residential,0.65,3.5,20.0,113.927392,22.525965
P0395,书山路,10,94,9.4,26,1,28.2,78.0,Residential,0.5,2.5,20.0,113.927127,22.5261
P0396,书山路,10,102,10.2,26,1,30.6,78.0,Residential,0.5,2.5,20.0,113.927448,22.526276
P0397,书山路,10,86,8.6,26,1,25.8,78.0,Residential,0.5,2.5,20.0,113.927751,22.526503
P0398,书山路,10,84,8.4,17,1,25.2,51.0,Residential,0.5,2.5,20.0,104.787578,31.66662
P0399,书山路,10,118,11.8,26,1,35.4,78.0,Residential,0.5,2.5,20.0,77.366836,59.086632
P0400,书山路,10,108,10.8,26,1,32.4,78.0,Residential,0.5,2.5,20.0,49.946377,86.507053
