code,wgs_lon,wgs_lat,addr,name,pk,use_type,use_name,update_year,floors,update_status,lon_gcj02,lat_gcj02
4403050070100400012,113.94797651194916,22.558071853879454,高新中一道19号,赛百诺饭堂,80134d0a150e488e9ee1fcb7363af38a,4,工业/industrial,2022,1,1,113.93073883,22.55233851
4403050070060100070,113.94377617068895,22.518039914460587,后海村80号,后海村80号,7fddce6368584b31b0bb615e83766324,2,商业/commercial,2022,8,1,113.92655853,22.51232257
4403050070060100028,113.94371625362314,22.518939766545287,后海村137号,后海村137号,7fce11ee0958434ba18785852e58d453,2,商业/commercial,2022,6,1,113.92649852,22.51322223
4403050070150100020,113.94418668105659,22.537217534072997,南海大道3688号,花圃办公室,7fa401df882d4cd8947df432f48ed3bf,7,混合/mixed,2022,2,1,113.92696325,22.53149434
4403050070051300002,113.94666663963021,22.524637272422908,后海大道2712号,乐安居家具,7f6ea4bc34f54ba5badb605369af788f,4,工业/industrial,2022,4,1,113.92944061,22.51891458
44030500701205T0001,113.93992934367573,22.515416327489202,南商路,南商路,7d6ebc55ebf84dc2b85ad74b8e4038bc,4,工业/industrial,2022,1,1,113.92272069,22.50970378
4403050070120300011,113.9405017004283,22.516930126859194,华明路4号,南乐雅苑管理处,7a9d28deb69740639caaf81b94744c67,1,住宅/residential,2022,1,1,113.92329147,22.51121658
4403050070140500001,113.94801725276257,22.515046054780758,东滨路北师大南山附中,接待大厅,784228bb9215454da6563ebd21381897,8,科教/education,2022,6,1,113.93079038,22.50932438
4403050070010200012,113.94313754216603,22.532964235536923,学海路1号,海文花园海天阁A.B,77717a6d8d4745b6b8e662499ae43c3c,2,商业/commercial,2022,11,1,113.92591755,22.52724339
4403050070160600023,113.94672859411114,22.534327252651313,桂庙新村56-1号,桂庙新村56-1号,76277098f33a4bcf9fabbf63bed9c8a4,2,商业/commercial,2022,7,1,113.92949996,22.52860178
4403050070060100125,113.94342927644641,22.516679279391155,后海村2号,后海村2号,73710783afce419d878b9d8bc0aff004,2,商业/commercial,2022,5,1,113.92621276,22.51096272
4403050070060100098,113.94346218868485,22.517423422156355,后海村40号,后海村40号,7041a99c4d7f47f3bfa0b3ae29e62369,2,商业/commercial,2022,3,1,113.92624541,22.51170661
4403050070020100007,113.94014205639392,22.521499311016658,龙城路104号,粤海小区A座,6f87203da44047989a4553a1010c5003,7,混合/mixed,2022,8,1,113.92293142,22.5157848
4403050070050500022,113.95475343202752,22.52920182606033,滨海大道3099号,五矿金融大厦,6f1236db3abb4ddfba708262529fe02e,4,工业/industrial,2022,33,1,113.93750539,22.52346627
4403050070140400015,113.94652568073504,22.516380685630978,华明路1号,蔚蓝海岸一期1栋,6d3551bc402343ecb99143379ee5f602,2,商业/commercial,2022,11,1,113.92930208,22.51066054
4403050070150100054,113.94835447841606,22.540118166163364,南海大道3688号,新图书馆,52e5a12eac734652a24067d9c6dff2af,1,住宅/residential,2022,5,1,113.93112042,22.53438901
4403050070160600020,113.94649752732217,22.534190694648554,桂庙新村56-5号,桂庙新村56-5号,51e251b8f55549b798bd7440d6410bc1,2,商业/commercial,2022,6,1,113.92926948,22.52846555
4403050070010200001,113.94233983737358,22.53314157658107,书山路23号东门,创世纪滨海花园1.2.3.4栋,4c0678e12f7f4b14b85085491b025bf3,2,商业/commercial,2022,17,1,113.92512156,22.52742155
4403050070160600025,113.9470577143679,22.534127855690343,学府路30号,武装部,401db71d90c64d12a26bf91da6eaf3e9,1,住宅/residential,2022,6,1,113.92982834,22.52840202
4403050070160300022,113.94569057377214,22.534802436071196,桂庙新村70号,桂庙新村70号,3d5bc304b5bf42e3ab879006c91d628d,2,商业/commercial,2022,4,1,113.92846428,22.52907812
4403050070060100036,113.94336340984593,22.518734781043598,后海村109号,后海村109号,3d449fdb599f4d71a3c7f6928bcea433,2,商业/commercial,2022,9,1,113.92614652,22.5130177
4403050070060100025,113.94372718569853,22.51900862877414,后海村138号,后海村138号,3d22ead882d3495c8df711241b429867,2,商业/commercial,2022,5,1,113.92650941,22.51329106
4403050070060100083,113.94349263710232,22.517700416523887,后海村60号,后海村60号,3ade9efc51c14a0dacd7fa45dfa3ccc8,2,商业/commercial,2022,5,1,113.92627572,22.51198349
4403050070150100034,113.95012554828429,22.542092472541768,南海大道3688号,凌霄斋,3a6a7a83f6e448e886ec5f4fd572542f,2,商业/commercial,2022,6,1,113.93288654,22.53636036
4403050070110300012,113.94621775674733,22.51787387479888,登良路7-40,招商名仕花园12栋,394cd5f5cade4ce8b0868630bc25e3ee,2,商业/commercial,2022,8,1,113.92899451,22.51215368
4403050070120400007,113.93847447131819,22.51663862844735,建南路35号,南油A区20栋,6b0512444f1b47789979e242b2afe713,1,住宅/residential,2022,9,1,113.92126847,22.51092708
4403050070120500010,113.9413000003964,22.51613790033203,华明路3号,南油幼儿园,6aa6eac9788e48fbab910f9304e950fa,8,科教/education,2022,3,1,113.92408828,22.51042378
4403050070070100004,113.94236088512886,22.516061369852196,兴南路12号,海映山庄7栋,679db5e6b4be47a88b9be45c66dd9a56,2,商业/commercial,2022,6,1,113.92514689,22.51034616
4403050070060100099,113.943473979716,22.517362677756857,后海村35号,后海村35号,674f50baf5544e0cb3a404c76e1f83fc,2,商业/commercial,2022,8,1,113.92625719,22.51164587
4403050070150100064,113.94561859162152,22.536879575841862,南海大道3688号,倚风楼,654fa27c9e2d4e13a3e8e0036c964866,2,商业/commercial,2022,6,1,113.92839194,22.53115478
