community_id,lng,lat,population,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level
258,113.910154,22.468382,2269,0.015666753404206174,0.002067942883957011,0.04663329982676145,0.07553271545791651,61.97162915451795,-0.028899415631155063,1.6197162915451795,0.028899415631155067,4-Severe
259,113.899259,22.471456,1830,0.017241960345841648,0.0008108233278397507,0.051322024778464675,0.029615753985995485,-42.29426038073501,0.02170627079246919,0.5770573961926498,0.021706270792469187,0-NightAdv
260,113.903878,22.488116,2167,0.0009380266849203661,0.0001291655902867476,0.0027921087742180475,0.004717841993495574,68.97056579813385,-0.001925733219277527,1.6897056579813385,0.001925733219277527,4-Severe
261,113.908949,22.5122,2521,0.06929225379935038,0.004960373825611716,0.20625373769077243,0.1811802964392779,-12.156599697158496,0.02507344125149452,0.878434003028415,0.025073441251494518,0-NightAdv
262,113.922702,22.490764,2791,0.30369245226222036,0.02208262602640965,0.903964006841796,0.8065796793307642,-10.773031533773793,0.09738432751103177,0.8922696846622621,0.09738432751103178,0-NightAdv
263,113.915517,22.478276,2312,0.046427297326717715,0.004476427149077895,0.13819443125987785,0.16350388627388315,18.31438125492212,-0.025309455014005305,1.1831438125492213,0.025309455014005305,2-Mild
264,113.885603,22.483066,2266,0.03857182263501271,0.001332944024078484,0.11481200497611024,0.048686490556933255,-57.594599478457155,0.066125514419177,0.4240540052154285,0.066125514419177,0-NightAdv
265,113.900293,22.493648,5000,0.017257799318243977,0.0014575218015476616,0.05136917070142197,0.053236760243276615,3.6356233054837888,-0.0018675895418546473,1.036356233054838,0.0018675895418546473,1-None
266,113.907711,22.470015,1569,0.011438124895850327,0.000975388432381376,0.034046460933056334,0.035626582095454655,4.641073166180841,-0.0015801211623983208,1.0464107316618083,0.0015801211623983208,1-None
267,113.915525,22.490917,2014,0.09979396199039338,0.008120623638187302,0.2970444246061235,0.2966101043517908,-0.14621390551551736,0.0004343202543327096,0.9985378609448449,0.0004343202543327096,1-None
268,113.905891,22.48137,2027,0.023593514248086332,0.00300265374073412,0.07022791484051745,0.10967352743492584,56.16799627895338,-0.03944561259440839,1.5616799627895337,0.039445612594408395,4-Severe
269,113.890072,22.486023,2883,0.008224750834651002,0.00021592747428599663,0.02448160520415881,0.007886866025807421,-67.78452246069371,0.01659473917835139,0.32215477539306286,0.01659473917835139,0-NightAdv
270,113.892155,22.479151,4256,0.029371390762862583,0.0017280936076451959,0.08742620991314082,0.0631195395982815,-27.802498059801913,0.02430667031485932,0.7219750194019809,0.02430667031485932,0-NightAdv
272,113.948975,22.53361,3494,0.02291823869323702,0.0014042293986465991,0.0682179050699854,0.051290226837725224,-24.814127925643437,0.016927678232260178,0.7518587207435656,0.016927678232260178,0-NightAdv
273,113.944009,22.544643,1688,0.03143174349247727,0.0018602347894287263,0.09355900872027674,0.06794606665633525,-27.37624352190307,0.02561294206394149,0.7262375647809692,0.02561294206394149,0-NightAdv
274,113.938497,22.521938,5834,0.030743696092631688,0.001783265569894012,0.09151098256806779,0.0651347249102765,-28.823051526271264,0.026376257657791294,0.7117694847372874,0.026376257657791294,0-NightAdv
278,113.955947,22.542616,8282,0.04104816662604263,0.0031668288112573335,0.12218303385672655,0.11567010934408607,-5.330465537692914,0.006512924512640475,0.9466953446230708,0.006512924512640474,0-NightAdv
279,113.94522,22.530008,2782,0.017632539398886402,0.0009164394495199729,0.05248461345378005,0.03347343909351451,-36.22237663426349,0.01901117436026554,0.637776233657365,0.01901117436026554,0-NightAdv
280,113.939291,22.536961,4382,0.011243856658292875,0.0006159809780021517,0.03346820654077102,0.02249903336299924,-32.7749058331199,0.010969173177771779,0.672250941668801,0.010969173177771779,0-NightAdv
281,113.937919,22.535473,4316,0.011038265584223545,0.000688095053116145,0.03285624885231931,0.02513303837268949,-23.506062771632074,0.00772321047962982,0.7649393722836793,0.00772321047962982,0-NightAdv
282,113.945403,22.545178,4645,0.03886775303481522,0.0022435305864567374,0.11569286463514712,0.08194614982968364,-29.169227429788563,0.033746714805463485,0.7083077257021144,0.033746714805463485,0-NightAdv
283,113.943172,22.53715,5312,0.019350865949240653,0.0010510813905053934,0.057599344959124416,0.03839130771360584,-33.34766612215751,0.019208037245518575,0.6665233387784248,0.019208037245518575,0-NightAdv
284,113.960929,22.534241,3420,0.022540750761410915,0.0011832944088219545,0.06709428312664743,0.04322045863929684,-35.58250177930401,0.023873824487350592,0.6441749822069599,0.023873824487350596,0-NightAdv
285,113.939977,22.516545,2445,0.043457423706719324,0.0026619177256240636,0.1293543733745095,0.09722796296830721,-24.83596771265648,0.03212641040620229,0.7516403228734352,0.03212641040620229,0-NightAdv
286,113.934709,22.545501,5861,0.023960149776365142,0.0009473157555414163,0.07131923376769088,0.03460121261917719,-51.48403762737526,0.03671802114851369,0.48515962372624744,0.03671802114851369,0-NightAdv
289,113.939109,22.545659,7694,0.034718389852096326,0.001131705689154234,0.10334196509664381,0.041336153171418574,-60.00061240101091,0.06200581192522524,0.39999387598989083,0.06200581192522524,0-NightAdv
291,113.938898,22.544131,2969,0.022033776656275792,0.0007122574324013534,0.06558523560166227,0.026015582147710815,-60.33317268886743,0.039569653453951456,0.3966682731113258,0.039569653453951456,0-NightAdv
292,113.935961,22.543955,3036,0.020684546153126163,0.0008705281733841639,0.06156914694784479,0.03179650527509093,-48.3564303692144,0.029772641672753855,0.516435696307856,0.02977264167275386,0-NightAdv
293,113.940251,22.529625,3157,0.015009271548192817,0.0008681622585330706,0.04467625437317725,0.031710088974799634,-29.022498820228428,0.012966165398377617,0.7097750117977157,0.01296616539837762,0-NightAdv
294,113.956883,22.531018,9429,0.009604929097019857,0.00040393173854135617,0.02858981225017931,0.01475382193017089,-48.394827496363305,0.01383599032000842,0.516051725036367,0.013835990320008422,0-NightAdv
295,113.936233,22.545298,5896,0.015727119573899606,0.0006155519022758137,0.046812984386674875,0.02248336114352025,-51.97195513576347,0.024329623243154623,0.4802804486423653,0.024329623243154623,0-NightAdv
296,113.921159,22.528697,10103,0.03722431770767636,0.003072331237045446,0.11080105263178833,0.11221853510584989,1.2793041585733962,-0.0014174824740615655,1.012793041585734,0.0014174824740615655,1-None
298,113.928863,22.535157,6936,0.016646488455368338,0.001070267898453621,0.04954955676991129,0.03909210513732939,-21.105035673966167,0.010457451632581896,0.7889496432603383,0.010457451632581896,0-NightAdv
299,113.937021,22.542933,4656,0.018634758425843403,0.0008324844549360957,0.05546779568498968,0.030406938192367408,-45.180914768899086,0.025060857492622275,0.5481908523110092,0.025060857492622275,0-NightAdv
300,113.954338,22.520515,5265,0.0019601634522393714,8.407865132068249e-05,0.00583457769579734,0.0030710175293325493,-47.36521322623555,0.002763560166464791,0.5263478677376445,0.002763560166464791,0-NightAdv
301,113.925801,22.545135,5815,0.045809578635817194,0.0028865958711843886,0.13635574393403888,0.10543445192401144,-22.676926631697594,0.03092129201002744,0.7732307336830241,0.030921292010027437,0-NightAdv
302,113.962783,22.547215,4962,0.019618246153123207,0.002238674789670297,0.058395222758033806,0.08176878926530971,40.026504572345786,-0.023373566507275907,1.4002650457234578,0.023373566507275907,3-Moderate
303,113.938223,22.540155,4066,0.010439794849682818,0.0005970230208489036,0.031074854553109425,0.02180658387881444,-29.825628494752138,0.009268270674294986,0.7017437150524787,0.009268270674294986,0-NightAdv
304,113.949107,22.530719,8485,0.021800810433962387,0.0011931283091061882,0.06489179367311744,0.04357964708583132,-32.84259130614084,0.02131214658728612,0.6715740869385916,0.02131214658728612,0-NightAdv
307,113.938738,22.517457,10192,0.04505750120196735,0.0027469900422966336,0.13411712744721493,0.10033527465395653,-25.1883211609599,0.033781852793258405,0.748116788390401,0.0337818527932584,0-NightAdv
308,113.953532,22.522833,1592,0.004663208951846085,0.00023332706283498014,0.013880401101347079,0.008522395266557242,-38.6012320225375,0.005358005834789837,0.613987679774625,0.005358005834789836,0-NightAdv
309,113.942279,22.543795,4401,0.030335327727505263,0.001824162196520984,0.09029544263331704,0.0666284959840176,-26.210566069662143,0.023666946649299442,0.7378943393033786,0.023666946649299442,0-NightAdv
310,113.960336,22.52747,3843,0.0019371123074551626,0.0002662228111695853,0.005765964185497019,0.009723929998492621,68.64360730770703,-0.003957965812995602,1.6864360730770704,0.003957965812995602,4-Severe
312,113.947359,22.521737,4943,0.008388903029033806,0.0005953008133239661,0.024970216871195005,0.02174367933152265,-12.92154391896533,0.0032265375396723535,0.8707845608103467,0.0032265375396723535,0-NightAdv
314,113.944687,22.543858,3180,0.034586218533955784,0.0021737413594622667,0.10294854697431022,0.07939706113603726,-22.876948272179114,0.023551485838272962,0.7712305172782089,0.023551485838272965,0-NightAdv
