community_id,lng,lat,population,A_i_2sfca_day,A_i_2sfca_norm_day,A_i_2sfca_night,A_i_2sfca_norm_night,TPI,accessibility_gap,accessibility_ratio,TPI_level
23,113.951568,22.513775,1430,0.01180428139428853,0.027454290383355475,0.000983328568879475,0.024916010930312836,-9.245474632924784,0.002538279453042639,0.9075452536707521,0-Night Advantage
24,113.943167,22.541014,2899,0.029497222640499633,0.06860437233109304,0.0020968318701968234,0.05313044637397889,-22.5553057791056,0.015473925957114151,0.7744469422089441,0-Night Advantage
25,113.934599,22.509815,3391,0.11304583673193122,0.2629209796514591,0.008907879602109488,0.22571176365290233,-14.152243022935307,0.03720921599855678,0.8584775697706469,0-Night Advantage
26,113.94876,22.516912,5777,0.013242212722545672,0.03079861799794425,0.0008944810698971909,0.022664753999685733,-26.40983435945547,0.008133863998258516,0.7359016564054454,0-Night Advantage
27,113.918984,22.528081,7888,0.045701409263401875,0.10629192230651922,0.0038543065092477794,0.09766211025743553,-8.118972600944673,0.008629812049083696,0.9188102739905533,0-Night Advantage
28,113.945794,22.522781,5567,0.019872524804952867,0.04621933757946426,0.0013815406042919872,0.03500608228685488,-24.260960627855358,0.01121325529260938,0.7573903937214465,0-Night Advantage
29,113.940267,22.520858,6125,0.029894661849927364,0.06952873283224474,0.0019129584940569453,0.04847138205439411,-30.28582561493922,0.021057350777850634,0.6971417438506078,0-Night Advantage
30,113.910596,22.525177,1610,0.04976334964265626,0.11573914632355126,0.004168861708644438,0.1056324479801408,-8.732307662920686,0.01010669834341045,0.9126769233707932,0-Night Advantage
31,113.943953,22.505433,2855,0.1020507411645579,0.2373486863100392,0.007198056399528387,0.1823875127842846,-23.15629986422633,0.05496117352575458,0.7684370013577367,0-Night Advantage
32,113.94845,22.537015,4549,0.0315220649269538,0.07331373211810283,0.002576111780869888,0.06527465114026298,-10.965314062704508,0.008039080977839841,0.8903468593729549,0-Night Advantage
33,113.936027,22.528199,3222,0.024204440919515628,0.05629446870799588,0.0017360841260130218,0.043989661674301364,-21.85793261060972,0.012304807033694513,0.7814206738939028,0-Night Advantage
34,113.918374,22.538354,2273,0.038963550391908845,0.09062107138038483,0.0028293595182983453,0.07169155347946252,-20.888649419587043,0.018929517900922316,0.7911135058041295,0-Night Advantage
35,113.925233,22.535207,7623,0.03542439315414778,0.08238973164251145,0.0029908805428798713,0.07578424410324312,-8.017367465073805,0.0066054875392683315,0.9198263253492619,0-Night Advantage
36,113.925657,22.516953,5549,0.0992397268576426,0.23081085478298327,0.007865839944212114,0.19930810537662913,-13.64872957815358,0.03150274940635414,0.8635127042184643,0-Night Advantage
37,113.938237,22.528294,3308,0.019588066123214613,0.04555774616278665,0.0015139516126612747,0.03836117054141701,-15.796601516797784,0.00719657562136964,0.8420339848320222,0-Night Advantage
38,113.960374,22.535904,3150,0.034348813935782506,0.07988815927186377,0.0036819735761548125,0.09329546274968523,16.782591563032103,-0.013407303477821458,1.167825915630321,2-Mild Deprivation
39,113.928049,22.512219,7794,0.10722739260496322,0.24938849518201917,0.00811551311301447,0.20563443372685103,-17.544538862241303,0.043754061455168136,0.8245546113775869,0-Night Advantage
40,113.920245,22.531962,2804,0.04242828266635209,0.09867931421498659,0.0036268494740949956,0.09189870405384953,-6.871359225667654,0.0067806101611370545,0.9312864077433235,0-Night Advantage
41,113.937558,22.529191,4001,0.016527672973734028,0.03843991159017767,0.0013030690516348596,0.03301773563894695,-14.105589026943074,0.0054221759512307205,0.8589441097305692,0-Night Advantage
42,113.915605,22.528483,1634,0.04314953960866784,0.10035680705626439,0.0035850654122912343,0.09083996115390335,-9.483009854055526,0.009516845902361043,0.9051699014594448,0-Night Advantage
43,113.920887,22.535363,2152,0.039618483382703434,0.09214430857800145,0.0033453536370141364,0.08476603896558042,-8.007298254536487,0.007378269612421023,0.9199270174546351,0-Night Advantage
