community_id,lng,lat,community_type,SAI,SAI_night,spatial_deprivation,TPI,TPI_deprivation,TPI_norm,SAII,vulnerability,vulnerability_weighted,deprivation_type,illusion_flag,illusion_type
255,113.906882,22.490565,urban_village,0.06582530132191365,0.06279103535441193,0.9341746986780863,-4.609573988370943,0.0,0.0,0.0,0.46708734933904317,0.5605048192068518,3-Spatially Isolated,0,Normal
256,113.900607,22.499667,commodity_housing,0.08785069946839003,0.06519797539658913,0.9121493005316099,-25.78547946559228,0.0,0.0,0.0,0.45607465026580496,0.5472895803189659,3-Spatially Isolated,0,Night Advantage
257,113.904686,22.486461,commodity_housing,0.05011616771880235,0.0599990774090703,0.9498838322811977,19.720002825675223,19.720002825675223,0.7399368102153512,0.702854012933283,0.8449103212482745,0.8659050234548591,4-Dual Deprived,0,Dual Deprivation
258,113.910154,22.468382,urban_village,0.02063052675630572,0.024065442146828365,0.9793694732436943,16.649673714573304,16.649673714573304,0.6247314753650861,0.6118429359470603,0.8020504743043901,0.837514274092251,4-Dual Deprived,0,Dual Deprivation
259,113.899259,22.471456,urban_village,0.06210293627371522,0.05745089504280065,0.9378970637262848,-7.490855521566586,0.0,0.0,0.0,0.4689485318631424,0.5627382382357708,3-Spatially Isolated,0,Night Advantage
260,113.903878,22.488116,urban_village,0.0346010121400749,0.04098380895481663,0.9653989878599251,18.446850019595754,18.446850019595754,0.6921653857092338,0.668215762795369,0.8287821867845795,0.8561055469996486,4-Dual Deprived,0,Dual Deprivation
261,113.908949,22.5122,commodity_housing,0.16050886465902836,0.1551718282209588,0.8394911353409716,-3.325072698886211,0.0,0.0,0.0,0.4197455676704858,0.5036946812045829,3-Spatially Isolated,0,Normal
262,113.922702,22.490764,urban_village,0.7421570435622612,0.7193244089253571,0.2578429564377388,-3.0765233362618654,0.0,0.0,0.0,0.1289214782188694,0.15470577386264328,1-Well-Served,0,Normal
263,113.915517,22.478276,commodity_housing,0.12882273274384956,0.13540959274511238,0.8711772672561504,5.113119292664052,5.113119292664052,0.19185520474360615,0.16713989297740403,0.5315162359998783,0.5994484422511327,3-Spatially Isolated,1,Accessibility Illusion
264,113.885603,22.483066,urban_village,0.08365840807599996,0.05947909995163051,0.916341591924,-28.902424371264175,0.0,0.0,0.0,0.458170795962,0.5498049551544,3-Spatially Isolated,0,Night Advantage
265,113.900293,22.493648,urban_village,0.06773072091667065,0.06316615400154729,0.9322692790833293,-6.739285885852539,0.0,0.0,0.0,0.4661346395416647,0.5593615674499975,3-Spatially Isolated,0,Night Advantage
266,113.907711,22.470015,high_end,0.03597090511181803,0.030171071910269086,0.964029094888182,-16.12367879962921,0.0,0.0,0.0,0.482014547444091,0.5784174569329091,3-Spatially Isolated,0,Night Advantage
267,113.915525,22.490917,high_end,0.3681444605505373,0.36301468325703473,0.6318555394494627,-1.3934142281623068,0.0,0.0,0.0,0.31592776972473136,0.3791133236696776,1-Well-Served,0,Normal
268,113.905891,22.48137,high_end,0.06865744760288221,0.08730174435726915,0.9313425523971178,27.155534330705667,27.155534330705667,1.0,0.9313425523971178,0.9656712761985589,0.9588055314382707,4-Dual Deprived,0,Dual Deprivation
269,113.890072,22.486023,urban_village,0.10095036389648088,0.09823614704888602,0.8990496361035192,-2.6886647485274477,0.0,0.0,0.0,0.4495248180517596,0.5394297816621115,3-Spatially Isolated,0,Normal
270,113.892155,22.479151,urban_village,0.06610459091497466,0.046704293562163525,0.9338954090850253,-29.347882021937433,0.0,0.0,0.0,0.46694770454251266,0.5603372454510152,3-Spatially Isolated,0,Night Advantage
272,113.948975,22.53361,high_end,0.07778256373968788,0.06849762849445844,0.9222174362603122,-11.937039355379184,0.0,0.0,0.0,0.4611087181301561,0.5533304617561873,3-Spatially Isolated,0,Night Advantage
273,113.944009,22.544643,high_end,0.10725671231298649,0.07787310538278938,0.8927432876870135,-27.395587927823684,0.0,0.0,0.0,0.44637164384350675,0.535645972612208,3-Spatially Isolated,0,Night Advantage
274,113.938497,22.521938,high_end,0.09938456689615582,0.0822891972320873,0.9006154331038442,-17.20123173845593,0.0,0.0,0.0,0.4503077165519221,0.5403692598623064,3-Spatially Isolated,0,Night Advantage
278,113.955947,22.542616,commodity_housing,0.09102310279953753,0.095680210196904,0.9089768972004625,5.116401500422295,5.116401500422295,0.1919783602198283,0.17450389420225224,0.5504776287101454,0.6221774824082088,3-Spatially Isolated,1,Accessibility Illusion
279,113.94522,22.530008,high_end,0.04683950167286011,0.03746973192594226,0.9531604983271399,-20.003991102123337,0.0,0.0,0.0,0.47658024916356995,0.5718962989962839,3-Spatially Isolated,0,Night Advantage
