community_id,lng,lat,community_type,SAI,SAI_night,SAI_pct,spatial_dep,TPI,TPI_dep,TPI_dep_norm,TPI_sym,SAII,vulnerability,vuln_weighted,quadrant,deprivation_type,illusion_flag
69,113.937344,22.533373,high_end,0.0483510421580008,0.0403232207334968,18.65671641791045,0.9516489578419992,-16.60320246722047,0.0,0.0,0.42420975974781566,0.0,0.4758244789209996,0.5709893747051995,Q4-Spatial Isolated,3-Spatial Isolated,0
70,113.947894,22.542281,high_end,0.10727841744451833,0.0898630271078958,64.17910447761194,0.8927215825554817,-16.233824800435112,0.0,0.0,0.41477220626422817,0.0,0.44636079127774086,0.535632949533289,Q2-Night Advantage,1-Night Advantage,0
71,113.935357,22.53553,high_end,0.04861896317818351,0.04103601545524152,20.149253731343283,0.9513810368218165,-15.596687438914042,0.0,0.0,0.39849342585479686,0.0,0.47569051841090826,0.5708286220930899,Q4-Spatial Isolated,3-Spatial Isolated,0
72,113.919179,22.517452,high_end,0.24736214807745013,0.24954577846136425,93.53233830845771,0.7526378519225498,0.8827665836853951,0.8827665836853951,0.033123295968620556,0.02255457651124293,0.02492984632641743,0.3928805739455852,0.46483202954097813,Q1-Temporal Illusion,2-Temporal Illusion,1
73,113.934654,22.515918,high_end,0.2074093013856297,0.18037604355213033,91.54228855721394,0.7925906986143703,-13.033773149468008,0.0,0.0,0.3330112842543062,0.0,0.39629534930718513,0.4755544191686221,Q2-Night Advantage,1-Night Advantage,0
74,113.929771,22.523903,commodity_housing,0.14568734594658642,0.13857594735603865,83.83084577114428,0.8543126540534136,-4.881274035395656,0.0,0.0,0.12471594500558382,0.0,0.4271563270267068,0.5125875924320481,Q2-Night Advantage,1-Night Advantage,0
75,113.923645,22.526237,commodity_housing,0.13916508100460537,0.143258772792819,82.58706467661692,0.8608349189953947,2.941608454263158,2.941608454263158,0.11037545966859988,0.0751577304510231,0.09501504988289863,0.48560518933199726,0.5606511352646767,Q1-Temporal Illusion,2-Temporal Illusion,1
76,113.94908,22.521307,commodity_housing,0.038646931826726266,0.030648031455691723,12.686567164179104,0.9613530681732737,-20.69737490908116,0.0,0.0,0.5288153568521557,0.0,0.48067653408663685,0.5768118409039642,Q4-Spatial Isolated,3-Spatial Isolated,0
77,113.935153,22.531212,commodity_housing,0.05040367706897683,0.04462500096243383,21.890547263681594,0.9495963229310231,-11.464790750553675,0.0,0.0,0.29292397894040406,0.0,0.47479816146551157,0.5697577937586139,Q4-Spatial Isolated,3-Spatial Isolated,0
78,113.933052,22.53122,high_end,0.057830316234394476,0.051215514411950304,26.865671641791046,0.9421696837656055,-11.438294398449148,0.0,0.0,0.29224700043685053,0.0,0.47108484188280275,0.5653018102593633,Q4-Spatial Isolated,3-Spatial Isolated,0
79,113.936071,22.511357,commodity_housing,0.2590862609619602,0.2202258997415395,93.78109452736318,0.7409137390380398,-14.999004993987807,0.0,0.0,0.383222713661278,0.0,0.3704568695190199,0.4445482434228239,Q2-Night Advantage,1-Night Advantage,0
