community_id,lng,lat,population,community_type,SCR,BFD,EWW,SVI,WES,alpha_env,v_robust,v_elderly,v_wheelchair,AI_star_robust,AI_star_elderly,AI_star_wheelchair,occlusion_factor,sidewalk_width_proxy,building_density_500m,floor_count,illusion_level
255,113.906882,22.490565,13577,urban_village,0.3239843995104202,0.5661809935723082,4.707347670521829,0.7036278549627453,6.294661392387521,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.4,99,2,Minor
256,113.900607,22.499667,3498,commodity_housing,0.3239843995104202,0.5661809935723082,4.707347670521829,0.7036278549627453,6.294661392387521,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.4,99,2,Minor
257,113.904686,22.486461,4158,commodity_housing,0.3414851451182009,0.6050965348841708,4.259885858158867,0.640233715426925,6.317664203418879,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.41399416909621,109,4,Minor
258,113.910154,22.468382,6960,urban_village,0.397302198388405,0.4830645705047652,3.6465799507271663,0.6552993731783344,5.989279236988276,0.82,0.9839999999999999,0.5903999999999999,0.39359999999999995,21.95121951219514,103.25203252032522,204.87804878048786,0.0,6.459117345193295,117,20,Significant
259,113.899259,22.471456,1806,urban_village,0.3414851451182009,0.6050965348841708,4.259885858158867,0.640233715426925,6.317664203418879,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.41399416909621,109,4,Minor
260,113.903878,22.488116,13538,urban_village,0.3239843995104202,0.5661809935723082,4.707347670521829,0.7036278549627453,6.294661392387521,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.4,99,2,Minor
261,113.908949,22.5122,6152,commodity_housing,0.3239843995104202,0.5661809935723082,4.707347670521829,0.7036278549627453,6.294661392387521,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.4,99,2,Minor
262,113.922702,22.490764,6140,urban_village,0.4022277394342424,0.5224912210360266,3.452960831813531,0.5176941169771995,5.706400024730649,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.21280887544125,230,2,Minor
263,113.915517,22.478276,5307,commodity_housing,0.397302198388405,0.4830645705047652,3.6465799507271663,0.6552993731783344,5.989279236988276,0.82,0.9839999999999999,0.5903999999999999,0.39359999999999995,21.95121951219514,103.25203252032522,204.87804878048786,0.0,6.459117345193295,117,20,Significant
264,113.885603,22.483066,12382,urban_village,0.3239843995104202,0.5661809935723082,4.707347670521829,0.7036278549627453,6.294661392387521,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.4,99,2,Minor
