community_id,lng,lat,population,community_type,area_m2,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level
74,113.929771,22.523903,4454,commodity_housing,56535.68,0.032612146914165606,0.002148735921818778,0.11189405760660218,0.09046681442059039,-19.149580991464106,0.021427243186011788,0.8085041900853589,0.021427243186011788,0-NightAdv
75,113.923645,22.526237,8014,commodity_housing,101707.21,0.02256143300357124,0.001944006499041826,0.07740950912656852,0.08184722626704939,5.732780365813941,-0.004437717140480871,1.0573278036581395,0.004437717140480871,2-Mild
76,113.94908,22.521307,7640,commodity_housing,96949.29,0.002732279575938933,0.00015851572600961237,0.009374600484663482,0.006673883292051283,-28.80887774396869,0.002700717192612199,0.7119112225603131,0.002700717192612199,0-NightAdv
77,113.935153,22.531212,2791,commodity_housing,35436.27,0.006475532755255255,0.000548475288183799,0.022217906630220677,0.023092094103590068,3.9346077374378994,-0.0008741874733693908,1.039346077374379,0.0008741874733693908,1-None
78,113.933052,22.53122,2215,high_end,40173.05,0.00737070946911039,0.0006931128087982763,0.025289306837383584,0.02918167244721856,15.39134953308067,-0.003892365609834976,1.1539134953308068,0.0038923656098349755,2-Mild
79,113.936071,22.511357,8281,commodity_housing,105072.75,0.05709413927864281,0.0036419970940014855,0.19589311081721156,0.1533366068290405,-21.724349473361862,0.04255650398817107,0.7827565052663814,0.04255650398817107,0-NightAdv
80,113.940731,22.527673,5190,high_end,94112.06,0.01692402584205608,0.001102247818227525,0.05806725719379392,0.046407214495062625,-20.080236715533196,0.011660042698731297,0.799197632844668,0.0116600426987313,0-NightAdv
81,113.935071,22.505613,4597,high_end,83375.86,0.1706298970053114,0.012081374661826894,0.5854404978357248,0.5086541665631892,-13.115992411936277,0.07678633127253565,0.8688400758806372,0.07678633127253563,0-NightAdv
82,113.929827,22.516451,5222,commodity_housing,66267.98,0.06700425104785487,0.004496551334125748,0.2298952456693154,0.18931534161382174,-17.65147597435067,0.040579904055493665,0.8234852402564933,0.04057990405549366,0-NightAdv
83,113.928262,22.536646,5853,commodity_housing,74284.93,0.014702755409002588,0.0009399280330414081,0.0504459569938991,0.039573171402976684,-21.55333398122939,0.010872785590922418,0.7844666601877062,0.010872785590922418,0-NightAdv
84,113.94925,22.545066,4044,high_end,73346.11,0.0640733229872809,0.003171627222603488,0.21983907138205253,0.13353293368674896,-39.258780139820736,0.08630613769530357,0.6074121986017926,0.08630613769530356,0-NightAdv
85,113.929179,22.506992,5938,high_end,107676.56,0.07585050026575765,0.005223276873495123,0.2602472099909412,0.21991218873553964,-15.498733399218981,0.04033502125540156,0.8450126660078102,0.04033502125540157,0-NightAdv
86,113.942742,22.535988,1929,high_end,34991.74,0.012898881183823499,0.0006840104301091347,0.04425676598484044,0.028798440987598574,-34.92872706183933,0.015458324997241868,0.6507127293816066,0.015458324997241868,0-NightAdv
87,113.922723,22.51294,3006,commodity_housing,38159.77,0.10261491520256502,0.008819034312790483,0.3520773797319372,0.37130199781307677,5.460338887938982,-0.019224618081139566,1.0546033888793898,0.019224618081139566,2-Mild
88,113.915843,22.511121,3593,commodity_housing,45601.55,0.08636719999386509,0.007142032686128949,0.296330581266846,0.3006963019703782,1.4732602638810532,-0.004365720703532194,1.0147326026388106,0.004365720703532195,1-None
