lon,lat,name,shop,opening_hours,brand,amenity,addr_distr,cuisine
113.9451994,22.582812,美宜佳,convenience,,美宜佳,,,
113.9305194,22.5775719,,convenience,,,,,
113.9275541,22.5299513,,copyshop,,,,,
113.9271289,22.5307874,,convenience,,,,,
113.9275595,22.5306233,优剪,hairdresser,,,,,
113.9403419,22.5449817,中国电信,telecommunication,,中国电信,,,
113.9395938,22.5841942,罗森,convenience,24/7,罗森,,,
113.9502318,22.5841936,华为,mobile_phone,,华为,,,
113.9503935,22.5841916,Vivo,mobile_phone,,Vivo,,,
113.9607252,22.5861961,7-Eleven,convenience,,7-Eleven,,,
113.9923306,22.5925373,7-Eleven,convenience,,7-Eleven,,,
113.9110039,22.4899932,,kiosk,,,,,
113.9351424,22.5294232,罗森,convenience,,罗森,,,
113.9128217,22.5744716,,laundry,,,,,
113.9128221,22.5743671,,laundry,,,,,
113.916317,22.5027284,Spa,massage,,,,,
113.9155826,22.5000981,Spa,massage,,,,,
113.9880679,22.5389019,,convenience,,,,,
113.9926174,22.6005084,南科大品牌文化店,yes,,,,,
113.9081823,22.4751051,Oppo,mobile_phone,,Oppo,,,
113.9084163,22.474678,小米之家,mobile_phone,,小米,,,
113.9082407,22.4751375,荣耀,mobile_phone,,荣耀,,,
113.9106784,22.4743305,玩具反斗城,toys,,玩具反斗城,,,
113.9104391,22.4744514,无印良品,variety_store,,无印良品,,,
113.9017228,22.5636766,六福珠宝,jewelry,,六福珠宝,,,
113.9012768,22.5634997,无印良品,variety_store,,无印良品,,,
113.9018069,22.5635903,周生生,jewelry,,周生生,,,
113.9012231,22.5630405,Chanel,clothes,,Chanel,,,
113.9009803,22.5635256,优衣库,clothes,,优衣库,,,
113.9005457,22.5510135,小米汽车,car,,小米汽车,,,
113.9452999,22.5880603,丽新印务,copyshop,Mo-Su 08:30-22:00,,,,
113.9324524,22.5195663,Tidoo Park 踢倒公园,yes,Mo-Su 10:00-22:00,,,,
113.9328266,22.5203252,华润万家,supermarket,,华润万家,,,
113.933068,22.5202952,名创优品,variety_store,,名创优品,,,
113.933324,22.5256566,书报亭,kiosk,,,,,
113.9346212,22.4945326,盒马鲜生,supermarket,,盒马鲜生,,,
113.8836433,22.5456296,罗森,convenience,,罗森,,,
113.9397955,22.5840095,小米之家,mobile_phone,,小米,,,
113.9088094,22.4718456,大疆DJI,electronics,,大疆,,,
113.9089933,22.4718428,罗森,convenience,,罗森,,,
113.8949594,22.5526654,Panasonic松下新风系统,appliance,,Panasonic松下,,,
113.8950907,22.5526239,立邦,paint,,立邦,,,
113.891624,22.5557994,美宜佳,convenience,,美宜佳,,,
113.8909117,22.55523,钱大妈,greengrocer,,钱大妈,,,
113.8911229,22.5553818,果然鲜,greengrocer,,果然鲜,,,
113.8907792,22.5529759,口岸中国旅行社,travel_agency,,,,,
113.949728,22.5446436,优衣库,clothes,,优衣库,,,
113.9495166,22.5443048,Nike,clothes,,Nike,,,
113.9495867,22.5440232,Under Armour,clothes,,Under Armour,,,
113.9498621,22.5440504,New Balance,shoes,,New Balance,,,
113.9507134,22.5440666,Zara,clothes,,Zara,,,
113.9512708,22.5450932,Zara Home,interior_decoration,,Zara Home,,,
113.9520548,22.5446512,Blueglass酸奶,dairy,,Blueglass酸奶,,,
113.9508462,22.5445948,Chanel,clothes,,Chanel,,,
113.9506016,22.5444198,Jo Malone,perfumery,,Jo Malone,,,
113.8931496,22.5563224,中国福利彩票,lottery,,中国福利彩票,,,
113.9056777,22.5770311,沃尔玛,supermarket,,沃尔玛,,,
113.9062698,22.5774945,中国移动,telecommunication,,中国移动,,,
113.9078103,22.5772668,美宜佳,convenience,,美宜佳,,,
113.9038022,22.574939,钱大妈,greengrocer,,钱大妈,,,
113.9039697,22.5747197,百果园,greengrocer,,百果园,,,
113.9013516,22.5628864,Dior,clothes,,Dior,,,
113.9014636,22.562787,小米之家,mobile_phone,,小米,,,
113.9012322,22.5625759,Swarovski,jewelry,,Swarovski,,,
113.9018808,22.5629433,周大福,jewelry,,周大福,,,
113.9007729,22.5624084,Zara,clothes,,Zara,,,
113.9019375,22.565285,钱大妈,greengrocer,,钱大妈,,,
113.904313,22.5631035,中国电信,telecommunication,,中国电信,,,
113.9208361,22.5151082,永辉超市,supermarket,,永辉超市,,,
113.9207754,22.5146154,优衣库,clothes,,优衣库,,,
113.9055062,22.5769121,御蝶坊,bakery,,御蝶坊,,,
113.9172929,22.5869673,7-Eleven,convenience,,7-Eleven,,,
113.9174472,22.5866512,御蝶坊,bakery,,御蝶坊,,,
113.8898025,22.5534992,捷安特,bicycle,,捷安特,,,
113.8895664,22.5540345,百果园,greengrocer,,百果园,,,
113.9426085,22.518576,小米之家,mobile_phone,,小米,,,
113.9419012,22.5196823,Sephora,cosmetics,,Sephora,,,
113.9421158,22.5194252,Messika,jewelry,,Messika,,,
113.9405554,22.5184689,Ole'精品超市,supermarket,,Ole'精品超市,,,
113.9394776,22.5176097,New Balance,shoes,,New Balance,,,
113.9372463,22.5178282,荣耀,mobile_phone,,荣耀,,,
113.940994,22.5186644,Celine,clothes,,Celine,,,
113.9410619,22.5193857,Fendi,clothes,,Fendi,,,
113.9409852,22.520065,Van Cleef & Arpels,jewelry,,,,,
113.9410504,22.5193383,Tiffany & Company,jewelry,,Tiffany & Company,,,
113.9411187,22.5196791,Gucci,clothes,,Gucci,,,
113.9413259,22.5194628,Dior,clothes,,Dior,,,
113.9414181,22.5195696,Louis Vuitton,clothes,,Louis Vuitton,,,
113.9180829,22.5049113,中国体育彩票,lottery,,中国体育彩票,,,
113.9107681,22.4855576,特斯拉,car,,特斯拉,,,
113.9106747,22.4859298,御蝶坊,bakery,,御蝶坊,,,
113.9255677,22.523101,小米之家,mobile_phone,,小米,,,
113.924489,22.5219047,小米之家,mobile_phone,,小米,,,
113.9248886,22.5214008,良品铺子,nuts,,良品铺子,,,
113.9296171,22.5214692,小米之家,mobile_phone,,小米,,,
113.9284683,22.5203375,全家,convenience,,全家,,,
113.9306093,22.5199196,小米之家,mobile_phone,,小米,,,
113.9313875,22.5197818,小米之家,mobile_phone,,小米,,,
113.9307723,22.52013,阿迪达斯,sports,,阿迪达斯,,,
113.9307719,22.5200876,Lululemon,clothes,,Lululemon,,,
113.93176,22.5200868,罗森,convenience,,罗森,,,
