profile_id,road_name,n_buildings,total_floors,avg_floors,max_floors,min_floors,dominant_usage,avg_lat,avg_lng,scr_estimate,eww_estimate
PROFILE_0084,科技中二路,15,164,10.933333333333334,72,1,Other,113.93321433133336,22.546461995999998,0.5,2.5
PROFILE_0085,科技南一路,7,198,28.285714285714285,48,2,Residential,74.76488667,61.70774520714286,0.3,1.5
PROFILE_0086,科技南八路,7,175,25.0,31,20,Residential,74.77183053428573,61.71316187857143,0.3,1.5
PROFILE_0087,科技南十二路,4,48,12.0,20,7,Other,22.5401079275,113.9512878075,0.5,2.5
PROFILE_0088,科技南十二路,16,213,13.3125,34,4,Other,113.95154399625,22.539939073750002,0.5,2.5
PROFILE_0089,科技南路,8,90,11.25,57,1,Residential,22.537375155,113.94627228750001,0.5,2.5
PROFILE_0090,科技南路,21,301,14.333333333333334,57,1,Residential,113.94582499000002,22.53634020142857,0.5,2.5
PROFILE_0091,科技园科丰路,4,8,2.0,2,2,Residential,68.2474315675,68.2475947475,0.75,4.5
PROFILE_0092,科技园科技路,8,8,1.0,1,1,Residential,68.24665025375,68.24664384500001,0.75,4.5
PROFILE_0093,科技园科苑路,7,11,1.5714285714285714,2,1,Residential,87.83024924571428,48.66398155428572,0.75,4.5
PROFILE_0094,科技路,8,101,12.625,47,1,Mixed Residential,22.54560533875,113.9451701575,0.5,2.5
PROFILE_0095,科技路,23,339,14.73913043478261,47,1,Residential,113.9452222626087,22.54575969956522,0.5,2.5
PROFILE_0096,科智西路,7,17,2.4285714285714284,6,1,Infrastructure,100.88291756857143,35.60336824857143,0.75,4.5
PROFILE_0097,科润路,17,48,2.823529411764706,4,2,Commercial,81.68980565411765,54.80588213588236,0.75,4.5
PROFILE_0098,科苑南路,8,228,28.5,47,2,Residential,22.525571184999997,113.93963368249999,0.3,1.5
PROFILE_0099,科苑南路,25,610,24.4,62,2,Residential,113.9397766932,22.524995423599993,0.3,1.5
PROFILE_0100,科苑路,9,102,11.333333333333334,26,1,Residential,22.54531895555555,113.93948258111111,0.5,2.5
PROFILE_0101,科苑路,32,483,15.09375,46,1,Residential,113.9397472784375,22.546960765,0.5,1.5
PROFILE_0102,科苑路与岗园路,4,72,18.0,18,18,Residential,68.23515524999999,68.23576425,0.5,1.5
PROFILE_0103,粤兴一道,4,32,8.0,8,8,Other,91.0872650125,45.3853265225,0.65,3.5
