community_id,lng,lat,population,community_type,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level,ADI_day,ADI_night,lisa_cluster_day,vulnerability_level,MVI
243,113.90424,22.487167,2185,urban_village,0.0009312590070665,0.000112883412681,0.0031952005262833,0.0047526560348718,48.74359201486932,-0.0015574555085884,1.4874359201486933,0.0015574555085884,3-Moderate,0.9968047994737167,0.9952473439651282,HL,3-Moderate,48.74359201486932
244,113.925259,22.492423,4241,high_end,0.268205877778838,0.019533486988735,0.9202290182735258,0.8224055475840594,-10.630339703153076,0.0978234706894664,0.8936966029684692,0.0978234706894663,0-NightAdv,0.07977098172647423,0.17759445241594063,LH,0-NightAdv,0.0
245,113.886264,22.495729,4136,commodity_housing,0.0474737315079112,0.0036305862860713,0.162884966209913,0.1528561850922792,-6.156971604555296,0.0100287811176338,0.938430283954447,0.0100287811176338,0-NightAdv,0.837115033790087,0.8471438149077208,ns,0-NightAdv,0.0
246,113.90501,22.500769,1599,high_end,0.005302258435717,0.0001439414474007,0.0181923383459772,0.0060602720312026,-66.68777858046641,0.0121320663147745,0.3331222141953358,0.0121320663147745,0-NightAdv,0.9818076616540228,0.9939397279687974,LL,0-NightAdv,0.0
247,113.918633,22.491734,3160,urban_village,0.0545031604560305,0.0043204638452933,0.187003320936223,0.1819016459557212,-2.728119990041132,0.0051016749805018,0.9727188000995888,0.0051016749805018,1-None,0.812996679063777,0.8180983540442788,ns,1-None,0.0
248,113.907447,22.500446,742,high_end,0.0032591874600626,0.0002423540175765,0.0111824502191409,0.010203671707421,-8.752809022521783,0.0009787785117199,0.9124719097747822,0.0009787785117199,0-NightAdv,0.9888175497808591,0.989796328292579,ns,0-NightAdv,0.0
249,113.893334,22.490536,2082,high_end,0.024710157698291,0.002504898344915,0.0847819009351946,0.1054620865276259,24.392217400549697,-0.0206801855924313,1.243922174005497,0.0206801855924313,3-Moderate,0.9152180990648054,0.8945379134723741,HL,3-Moderate,24.392217400549697
250,113.914466,22.478154,2618,urban_village,0.040276818154856,0.0038834198575859,0.1381919633408902,0.163501070562497,18.314456651270376,-0.0253091072216067,1.1831445665127038,0.0253091072216067,2-Mild,0.8618080366591098,0.836498929437503,ns,2-Mild,18.314456651270376
251,113.88995,22.499642,2423,commodity_housing,0.051421380991093,0.0038273302490644,0.1764295672398424,0.161139566687817,-8.66634815877533,0.0152900005520253,0.9133365184122468,0.0152900005520253,0-NightAdv,0.8235704327601576,0.838860433312183,ns,0-NightAdv,0.0
252,113.904034,22.48796,3753,high_end,0.0008137379443447,0.0001120510952994,0.0027919793401163,0.0047176135239082,68.97021608017157,-0.0019256341837919,1.6897021608017155,0.0019256341837919,4-Severe,0.9972080206598837,0.9952823864760918,HH,4-Severe,68.97021608017157
253,113.893846,22.470759,3450,high_end,0.0112829243117161,0.0003700914749965,0.0387123296797646,0.0155817178124036,-59.74998678380125,0.0231306118673609,0.4025001321619875,0.0231306118673609,0-NightAdv,0.9612876703202354,0.9844182821875964,LL,0-NightAdv,0.0
254,113.890219,22.496424,3979,high_end,0.0513620067807747,0.0040479469108496,0.1762258510807318,0.1704280448098361,-3.289986250791119,0.0057978062708957,0.9671001374920888,0.0057978062708957,1-None,0.8237741489192683,0.8295719551901639,ns,1-None,0.0
255,113.906882,22.490565,4771,urban_village,0.0149921032520042,0.001206045538257,0.0514387252498005,0.0507773415915777,-1.2857699233621591,0.0006613836582228,0.9871423007663784,0.0006613836582228,1-None,0.9485612747501995,0.9492226584084223,ns,1-None,0.0
256,113.900607,22.499667,1027,commodity_housing,0.0153416427467568,0.0005886215039896,0.0526380143510229,0.0247823438072031,-52.91930344876028,0.0278556705438198,0.4708069655123971,0.0278556705438198,0-NightAdv,0.9473619856489771,0.9752176561927969,LL,0-NightAdv,0.0
257,113.904686,22.486461,1215,commodity_housing,0.0039036036995174,0.0006958315058383,0.0133934775400336,0.029296135959507,118.73434940208568,-0.0159026584194734,2.187343494020857,0.0159026584194734,4-Severe,0.9866065224599664,0.970703864040493,HH,4-Severe,118.73434940208568
258,113.910154,22.468382,2615,urban_village,0.013591867867543,0.0017940631335859,0.0466344411533232,0.0755342594298697,61.970975874955926,-0.0288998182765464,1.6197097587495592,0.0288998182765464,4-Severe,0.9533655588466768,0.9244657405701303,HH,4-Severe,61.970975874955926
259,113.899259,22.471456,2109,urban_village,0.0149579859827742,0.0007034239311093,0.0513216670353061,0.0296157948440716,-42.29377852496917,0.0217058721912344,0.5770622147503083,0.0217058721912344,0-NightAdv,0.948678332964694,0.9703842051559284,LL,0-NightAdv,0.0
260,113.903878,22.488116,2498,urban_village,0.0008137379443447,0.0001120510952994,0.0027919793401163,0.0047176135239082,68.97021608017157,-0.0019256341837919,1.6897021608017155,0.0019256341837919,4-Severe,0.9972080206598837,0.9952823864760918,HH,4-Severe,68.97021608017157
261,113.908949,22.5122,2906,commodity_housing,0.0599466943544949,0.0042310690996317,0.2056803831125159,0.178137917810342,-13.390905289741188,0.0275424653021738,0.8660909471025882,0.0275424653021738,0-NightAdv,0.7943196168874841,0.8218620821896581,LH,0-NightAdv,0.0
262,113.922702,22.490764,3217,urban_village,0.2634642778333855,0.0191574762008044,0.9039603298354312,0.8065746128347294,-10.773229066194888,0.0973857170007018,0.8922677093380511,0.0973857170007018,0-NightAdv,0.09603967016456882,0.19342538716527058,LH,0-NightAdv,0.0
263,113.915517,22.478276,2665,commodity_housing,0.040276818154856,0.0038834198575859,0.1381919633408902,0.163501070562497,18.314456651270376,-0.0253091072216067,1.1831445665127038,0.0253091072216067,2-Mild,0.8618080366591098,0.836498929437503,ns,2-Mild,18.314456651270376
